"","x"
"1130",186
"1131",187
"1132",1138
"1133",1139
"1134",164
"1135",165
"1136",1104
"1137",1105
"1138",70
"1139",71
"1140",162
"1141",163
"1142",1068
"1143",1069
"1144",234
"1145",235
"1146",258
"1147",259
"1148",530
"1149",531
"1150",94
"1151",95
"1152",12
"1153",13
"1154",18
"1155",19
"1156",14
"1157",15
"1158",20
"1159",21
"1160",274
"1161",275
"1162",770
"1163",771
"1164",930
"1165",931
"1166",1082
"1167",1083
"1168",756
"1169",757
"1170",848
"1171",849
"1172",260
"1173",261
"1174",690
"1175",691
"1176",410
"1177",411
"1178",272
"1179",273
"1180",230
"1181",231
"1182",858
"1183",859
"1184",28
"1185",29
"1186",950
"1187",951
"1188",446
"1189",447
"1190",232
"1191",233
"1192",10
"1193",11
"1194",174
"1195",175
"1196",24
"1197",25
"1198",26
"1199",27
"1200",1222
"1201",1223
"1202",130
"1203",131
"1204",132
"1205",133
"1206",1198
"1207",1199
"1208",134
"1209",135
"1210",138
"1211",139
"1212",136
"1213",137
"1214",1016
"1215",1017
"1216",8
"1217",9
"1218",664
"1219",665
"1220",702
"1221",703
"1222",644
"1223",645
"1224",558
"1225",559
"1226",736
"1227",737
"1228",388
"1229",389
"1230",386
"1231",387
"1232",554
"1233",555
"1234",656
"1235",657
"1236",412
"1237",413
"1238",402
"1239",403
"1240",406
"1241",407
"1242",392
"1243",393
"1244",1072
"1245",1073
"1246",1030
"1247",1031
"1248",492
"1249",493
"1250",444
"1251",445
"1252",1044
"1253",1045
"1254",1054
"1255",1055
"1256",622
"1257",623
"1258",470
"1259",471
"1260",1028
"1261",1029
"1262",1050
"1263",1051
"1264",1058
"1265",1059
"1266",1038
"1267",1039
"1268",1036
"1269",1037
"1270",468
"1271",469
"1272",666
"1273",667
"1274",436
"1275",437
"1276",1020
"1277",1021
"1278",390
"1279",391
"1280",550
"1281",551
"1282",1298
"1283",1299
"1284",396
"1285",397
"1286",1078
"1287",1079
"1288",964
"1289",965
"1290",968
"1291",969
"1292",996
"1293",997
"1294",978
"1295",979
"1296",724
"1297",725
"1298",1094
"1299",1095
"1300",838
"1301",839
"1302",948
"1303",949
"1304",1304
"1305",1
